part_id,agent_type,block,trial_no,q1,q2,q3,q4,q5,q6
1105,RL,1.0,2,3.0,3.0,5.0,4.0,2.0,0.0
1105,RL,1.0,8,2.0,3.0,3.0,4.0,4.0,
1105,RL,2.0,10,3.0,3.0,2.0,3.0,4.0,0.0
1105,RL,2.0,16,2.0,3.0,2.0,3.0,2.0,0.0
1105,RL_HP,1.0,4,5.0,3.0,3.0,2.0,4.0,
1105,RL_HP,1.0,6,4.0,3.0,4.0,3.0,3.0,
1105,RL_HP,2.0,12,2.0,3.0,3.0,3.0,2.0,0.0
1105,RL_HP,2.0,14,2.0,3.0,2.0,3.0,2.0,0.0
1106,RL,1.0,2,3.0,3.0,1.0,7.0,2.0,0.0
1106,RL,1.0,6,1.0,1.0,1.0,7.0,1.0,0.0
1106,RL,2.0,10,4.0,3.0,4.0,6.0,6.0,1.0
1106,RL,2.0,16,3.0,3.0,1.0,7.0,6.0,1.0
1106,RL_HP,1.0,4,6.0,6.0,5.0,2.0,5.0,1.0
1106,RL_HP,1.0,8,7.0,7.0,6.0,2.0,6.0,1.0
1106,RL_HP,2.0,12,7.0,6.0,7.0,2.0,7.0,1.0
1106,RL_HP,2.0,14,7.0,7.0,7.0,2.0,6.0,1.0
1107,RL,1.0,2,4.0,5.0,6.0,2.0,3.0,0.0
1107,RL,1.0,8,1.0,2.0,1.0,3.0,4.0,1.0
1107,RL,2.0,12,2.0,3.0,2.0,2.0,1.0,0.0
1107,RL,2.0,14,6.0,7.0,6.0,5.0,5.0,1.0
1107,RL_HP,1.0,4,7.0,6.0,7.0,7.0,6.0,1.0
1107,RL_HP,1.0,6,1.0,2.0,2.0,3.0,3.0,0.0
1107,RL_HP,2.0,10,7.0,7.0,7.0,7.0,7.0,1.0
1107,RL_HP,2.0,16,7.0,7.0,7.0,7.0,7.0,1.0
1108,RL,1.0,2,5.0,7.0,6.0,7.0,5.0,
1108,RL,1.0,6,6.0,6.0,5.0,7.0,1.0,
1108,RL,2.0,12,6.0,6.0,5.0,7.0,5.0,
1108,RL,2.0,16,6.0,6.0,6.0,7.0,7.0,
1108,RL_HP,1.0,4,6.0,7.0,6.0,7.0,5.0,
1108,RL_HP,1.0,8,5.0,6.0,7.0,7.0,6.0,
1108,RL_HP,2.0,10,6.0,7.0,6.0,7.0,5.0,
1108,RL_HP,2.0,14,6.0,6.0,7.0,7.0,6.0,
1109,RL,1.0,4,2.0,1.0,1.0,1.0,1.0,
1109,RL,1.0,8,7.0,6.0,5.0,6.0,6.0,1.0
1109,RL,2.0,12,1.0,1.0,1.0,1.0,1.0,
1109,RL,2.0,14,2.0,1.0,1.0,1.0,1.0,
1109,RL_HP,1.0,2,3.0,4.0,5.0,3.0,1.0,0.0
1109,RL_HP,1.0,6,3.0,4.0,4.0,7.0,1.0,0.0
1109,RL_HP,2.0,10,4.0,3.0,2.0,6.0,1.0,0.0
1109,RL_HP,2.0,16,3.0,4.0,5.0,5.0,1.0,0.0
1110,RL,1.0,4,5.0,6.0,7.0,7.0,7.0,1.0
1110,RL,1.0,6,6.0,6.0,5.0,6.0,5.0,0.0
1110,RL,2.0,10,5.0,6.0,7.0,1.0,1.0,1.0
1110,RL,2.0,14,7.0,6.0,7.0,7.0,7.0,1.0
1110,RL_HP,1.0,2,5.0,4.0,6.0,6.0,6.0,1.0
1110,RL_HP,1.0,8,1.0,1.0,1.0,1.0,1.0,
1110,RL_HP,2.0,12,6.0,6.0,6.0,6.0,6.0,1.0
1110,RL_HP,2.0,16,7.0,7.0,7.0,7.0,7.0,1.0
1111,RL,1.0,2,6.0,5.0,4.0,7.0,6.0,
1111,RL,1.0,8,6.0,5.0,7.0,7.0,7.0,1.0
